X1,X2,X3,X4,X5,X6,X7,X8
0.049671415,-0.01382643,0.064768854,0.152302986,-0.023415337,-0.023413696,0.157921282,0.076743473
0.054256004,-0.046341769,-0.046572975,0.024196227,-0.191328024,-0.172491783,-0.056228753,-0.101283112
-0.090802408,-0.14123037,0.146564877,-0.02257763,0.00675282,-0.142474819,-0.054438272,0.011092259
0.037569802,-0.060063869,-0.029169375,-0.060170661,0.185227818,-0.001349722,-0.105771093,0.082254491
0.047137733,-0.195711757,-0.125686738,0.020302936,0.074932811,0.025880937,-0.011564191,-0.022459274
-0.069430588,-0.04132473,0.111255018,0.035097757,-0.176180353,0.033904988,-0.03827379,-0.066382682
0.112971134,0.096841316,-0.079236773,-0.028859968,0.033495899,0.102450421,-0.047515082,-0.014281978
-0.105028234,0.083136122,0.150397705,-0.00684814,0.100603159,0.045625828,-0.060838344,0.044419008
0.007318927,0.163250206,-0.259091796,0.082745742,0.008718776,-0.029707712,0.009904678,-0.198587996
0.048308396,0.167927972,-0.046940923,-0.079644209,-0.048121647,0.092593986,0.033184003,-0.052053968
0.013512378,0.097525534,-0.068516757,-0.029575595,-0.037307855,-0.14635139,0.032612804,0.026105619
-0.015451904,-0.14012871,-0.036295384,-0.031513719,-0.079965312,-0.016006662,0.047901641,0.188725261
0.025780941,-0.007049385,-0.18623111,-0.002637996,0.006320955,0.246329031,-0.019146422,0.030158951
-0.086658596,0.124686889,0.093712322,0.07968662,-0.090936658,0.159471814,-0.118947809,0.075479045
-0.093660736,-0.053995173,0.017313969,-0.050301919,-0.153161356,0.010237661,-0.097329431,0.050317936
0.1576122,-0.078235397,-0.029774208,0.081411412,-0.122327347,0.022882352,0.130750959,-0.16062901
0.030762098,0.078448238,-0.113111136,-0.131879497,0.054182502,0.031548202,0.025232546,0.036263339
0.02676233,0.033145486,-0.056563205,0.188454879,0.052600953,-0.116652341,0.066003712,-0.095299909
0.122447167,-0.081108413,0.100596886,0.043471176,0.092860588,0.192844242,-0.019776093,-0.072604291
-0.044575688,-0.004674251,0.05794572,0.033879481,0.083285248,0.03089747,0.158369523,-0.000568062
0.069022241,-0.084708444,-0.103895608,0.048483818,-0.022001933,0.074268288,0.047657891,-0.004773183
-0.150680544,-0.041413206,0.08718961,0.02158843,-0.123868674,0.017412618,0.04046226,-0.088303034
0.01216625,-0.112016421,0.037831625,0.05982678,0.108444942,0.106441251,-0.137660817,-0.092854089
0.055337628,0.051934138,0.389596999,0.057585799,0.114630337,0.097704313,0.069104534,-0.029510804
-0.075977886,0.021853886,-0.047494401,0.009378431,0.232460694,-0.185835641,0.071967166,-0.160492068
0.111038166,0.007104717,-0.102473321,-0.065854214,0.067986161,-0.071338331,0.033733069,0.006043225
0.217440612,0.066542137,-0.20108763,0.018682436,-0.064877613,0.086263382,-0.077470869,-0.010581102
0.09544473,-0.10789877,-0.030062935,-0.046728968,-0.065228213,0.179915306,0.043102651,-0.123139748
0.220797983,0.10351766,-0.148576801,-0.046980247,0.127346194,-0.067330146,0.055711274,0.080470606
0.0344565,-0.317504214,-0.101329817,-0.022174447,-0.124116175,0.163309503,-0.141427466,-0.043944623
0.152048453,-0.140505896,0.118717155,0.012843411,-0.098003353,0.046229837,0.029240467,-0.060004635
-0.036703681,0.015579863,0.07845333,0.160879106,-0.123732064,0.214687806,-0.194460761,-0.0139671
0.033605985,-0.060423474,0.002259459,-0.037112156,-0.05117185,0.088197329,0.051833348,-0.06645848
0.03344186,0.081287743,0.069340684,-0.082602688,-0.05560491,0.074784423,0.063759596,-0.002041979
0.137620259,-0.0577147,0.059944085,-0.014439582,-0.019721159,0.116694785,0.084499083,0.087315926
0.025910322,0.069273285,-0.016786747,0.032753425,-0.012951755,0.027211935,0.064281888,-0.066498773
-0.094684199,-0.121334323,0.119359094,0.07944861,0.062733818,0.062857536,-0.000965506,-0.089705325
-0.063275102,0.101785951,-0.011492459,-0.08227013,-0.03024496,0.041530679,-0.054989581,-0.082014197
0.026006334,-0.050654695,-0.045580861,0.027939828,-0.142777922,-0.140359723,-0.071240743,-0.021006393
0.153942418,0.086389247,-0.010995464,-0.001733785,-0.100018746,0.000885931,-0.021970566,0.034666945
0.061383957,0.153310161,-0.008145732,0.042412447,0.069015301,-0.040083885,0.022409523,0.001292632
-0.077130465,0.002470923,0.057886239,0.146115295,0.096466727,0.215452703,-0.076172405,0.087349714
0.222113065,-0.079824584,-0.080878806,-0.059770182,-0.205984669,-0.052108314,-0.059666313,0.015448169
0.192481685,0.097004798,-0.049864471,-0.0839169,0.05026366,-0.131142818,0.184096223,0.118714452
-0.162887762,0.136133177,-0.005400492,0.124723629,-0.157330152,-0.059127267,0.006543823,0.005407016
0.07500579,-0.106753293,-0.008002235,0.01351684,0.056110678,0.07769132,-0.111240597,-0.147697814
0.035781095,-0.074829443,0.157383074,0.023901017,0.11798453,0.006999781,0.208187372,0.175751025
0.120021216,0.071968425,0.155708186,-0.087230046,0.068776524,0.12247632,-0.1758568,-0.103771214
-0.023704999,0.079027737,0.153026495,0.014042584,0.165144279,-0.137420121,-0.165088087,-0.005038498
0.018295276,-0.199719078,0.001401691,-0.129040483,0.067026413,0.041147558,-0.087378477,-0.047459925
-0.00108604,0.095514821,-0.095716582,0.050724723,-0.048030328,-0.078061173,-0.010110443,-0.102451386
-0.101043095,0.199221013,0.008038687,-0.066371278,0.02216989,-0.008937533,-0.019964219,0.063425033
-0.050062651,-0.057562438,-7.06E-06,-0.230051635,-0.150197562,0.138017098,0.164524729,-0.023740141
0.079157072,0.307888081,0.119907048,-0.01270808,-0.079676918,-0.15255341,0.027013415,-0.068555255
-0.048744532,-0.10384149,0.186332215,0.088164271,-0.000748816,0.157274042,0.015882221,-0.078008746
0.058958282,-0.093308707,-0.014891069,-0.085009399,-0.135948092,0.093885492,0.199598958,-0.138747487
-0.063832202,-0.048646015,-0.037534167,-0.08577251,0.007020142,-0.082866627,0.030130753,-0.004823974
-0.087968934,-0.057254489,0.079515453,0.051658179,-0.095548447,0.011114192,0.07754212,-0.165907187
-0.062833018,0.058956679,-0.062034538,-0.179894203,-0.161953674,0.006439696,0.026015484,-0.089004361
-0.164476089,-0.005453495,-0.118182192,-0.064314591,0.014448444,-0.08471012,-0.03844104,0.101794096
0.088991243,-0.108780576,0.061425855,0.1451755,-0.24592354,-0.079138529,0.060218744,-0.019822416
-0.059424641,0.009790919,-0.009378767,0.11871284,0.031764862,0.034508693,-0.038995679,-0.048105749
0.060922996,-0.04207206,0.056664528,0.208527077,0.091340292,-0.015986547,0.12053819,-0.026268707
-0.062507378,-0.186115931,-0.018091432,0.008604934,0.180688794,0.052249215,-0.021820603,0.100052476
0.026109824,0.077184709,-0.143001734,0.116355265,0.033871854,-0.04139649,0.06423368,0.227185049
0.026012366,-0.039801241,-0.081831747,0.083916404,-0.081546818,0.007601945,-0.04716596,0.048287639
0.108495181,-0.048992709,-0.01450137,-0.096948469,-0.042316737,0.040754907,0.075719088,-0.089569782
0.136265036,0.041406577,0.190923396,-0.076402127,-0.121645769,-0.177859666,0.150185768,0.065447379
0.035251224,-0.101613382,0.246826571,0.013092549,0.012690665,0.075076062,0.059172844,0.024575377
0.070186617,0.206479456,0.147516555,0.159487823,-0.051070143,-0.094171462,-0.010605947,0.009762884
-0.150752489,0.159483372,-0.009913,-0.039745306,-0.093579528,-0.158829671,0.085420951,0.013155794
-0.129042924,-0.03354899,0.169135099,-0.021317095,-0.149840389,-0.024562515,-0.018442954,-0.269678347
